timestamp,open,high,low,close,volume
2024-01-01 00:00:00,2281.87,2296.97,2281.27,2296.71,4393.025
2024-01-01 00:15:00,2296.71,2297.0,2289.0,2291.05,2690.5061
2024-01-01 00:30:00,2291.05,2294.78,2288.55,2293.22,2201.9447
2024-01-01 00:45:00,2293.23,2297.18,2292.24,2295.51,1486.4425
2024-01-01 01:00:00,2295.52,2297.4,2292.9,2296.59,1412.2053
2024-01-01 01:15:00,2296.59,2300.32,2296.59,2299.11,1669.0732
2024-01-01 01:30:00,2299.12,2306.45,2299.11,2303.27,3207.1637
2024-01-01 01:45:00,2303.26,2306.6,2303.26,2303.72,2124.9838
2024-01-01 02:00:00,2303.72,2304.72,2297.82,2299.02,1823.7417
2024-01-01 02:15:00,2299.02,2299.02,2295.58,2296.74,1163.0004
2024-01-01 02:30:00,2296.73,2299.46,2294.54,2294.54,1403.6463
2024-01-01 02:45:00,2294.55,2295.33,2291.2,2293.02,1417.8649
2024-01-01 03:00:00,2293.03,2294.5,2289.0,2289.04,2515.2115
2024-01-01 03:15:00,2289.04,2289.05,2281.0,2282.37,2252.9774
2024-01-01 03:30:00,2282.37,2283.8,2273.24,2276.29,3284.8894
2024-01-01 03:45:00,2276.29,2277.58,2271.0,2273.81,2692.6577
2024-01-01 04:00:00,2273.8,2278.8,2271.77,2274.08,2330.4382
2024-01-01 04:15:00,2274.09,2274.53,2265.24,2271.62,3330.3254
2024-01-01 04:30:00,2271.62,2276.11,2271.34,2274.41,1723.7117
2024-01-01 04:45:00,2274.4,2279.86,2272.56,2279.55,2297.1009
2024-01-01 05:00:00,2279.54,2283.19,2276.29,2283.19,2409.8417
2024-01-01 05:15:00,2283.19,2283.36,2277.05,2278.55,1509.3508
2024-01-01 05:30:00,2278.54,2280.32,2276.26,2279.3,1324.3438
2024-01-01 05:45:00,2279.3,2279.31,2272.62,2275.89,1461.5802
2024-01-01 06:00:00,2275.89,2278.43,2274.16,2274.99,1819.9726
2024-01-01 06:15:00,2274.99,2280.45,2274.28,2276.14,2001.5809
2024-01-01 06:30:00,2276.14,2282.34,2275.41,2280.97,1271.2963
2024-01-01 06:45:00,2280.96,2283.31,2280.69,2281.9,963.7821
2024-01-01 07:00:00,2281.9,2286.42,2281.51,2284.19,1439.4425
2024-01-01 07:15:00,2284.19,2285.91,2282.42,2285.9,1628.0233
2024-01-01 07:30:00,2285.91,2287.88,2283.6,2283.61,1020.9705
